YEAR,0,DY,41.2960517_-84.2273628,41.391012_-84.137842,41.53086853_-83.71882629,41.670988_-83.835347
1987,<class 'str'>,1,89.75,89.75,89.62,89.62
1987,,2,93.12,93.12,93.94,93.94
1987,,3,88.75,88.75,88.5,88.5
1987,,4,81.12,81.12,82.06,82.06
1987,,5,77.5,77.5,76.5,76.5
1987,,6,89.5,89.5,87.81,87.81
1987,,7,86.06,86.06,86.19,86.19
1987,,8,79.56,79.56,80.44,80.44
1987,,9,88.94,88.94,87.44,87.44
1987,,10,93.62,93.62,92.94,92.94
1987,,11,87.5,87.5,86.5,86.5
1987,,12,93.5,93.5,92.75,92.75
1987,,13,91.94,91.94,91.44,91.44
1987,,14,96.94,96.94,96.5,96.5
1987,,15,87.44,87.44,87.56,87.56
1987,,16,74.81,74.81,74.69,74.69
1987,,17,83.81,83.81,81.81,81.81
1987,,18,90.12,90.12,90.31,90.31
1987,,19,95.69,95.69,93.31,93.31
1987,,20,94.12,94.12,90.5,90.5
1987,,21,93.25,93.25,89.75,89.75
1987,,22,91.25,91.25,88.81,88.81
1987,,23,85.25,85.25,81.31,81.31
1987,,24,87.38,87.38,83.81,83.81
1987,,25,90.0,90.0,89.5,89.5
1987,,26,92.38,92.38,92.44,92.44
1987,,27,92.81,92.81,91.25,91.25
1987,,28,94.62,94.62,94.0,94.0
1987,,29,95.06,95.06,93.88,93.88
1987,,30,93.38,93.38,92.5,92.5
1987,,31,90.44,90.44,88.5,88.5
1987,,1,95.12,95.12,93.5,93.5
1987,,2,94.88,94.88,93.31,93.31
1987,,3,89.38,89.38,88.44,88.44
1987,,4,86.06,86.06,84.0,84.0
1987,,5,88.19,88.19,85.19,85.19
1987,,6,90.81,90.81,89.88,89.88
1987,,7,86.31,86.31,84.69,84.69
1987,,8,73.0,73.0,73.81,73.81
1987,,9,74.44,74.44,74.94,74.94
1987,,10,76.0,76.0,75.38,75.38
1987,,11,81.88,81.88,80.12,80.12
1987,,12,85.19,85.19,84.69,84.69
1987,,13,70.62,70.62,68.12,68.12
1987,,14,78.88,78.88,78.56,78.56
1987,,15,74.31,74.31,75.44,75.44
1987,,16,84.56,84.56,85.25,85.25
1987,,17,84.5,84.5,84.19,84.19
1987,,18,77.19,77.19,78.88,78.88
1987,,19,76.81,76.81,78.31,78.31
1987,,20,66.69,66.69,67.0,67.0
1987,,21,75.75,75.75,71.81,71.81
1987,,22,87.19,87.19,84.69,84.69
1987,,23,80.12,80.12,80.69,80.69
1987,,24,80.44,80.44,79.69,79.69
1987,,25,72.38,72.38,74.19,74.19
1987,,26,70.38,70.38,73.5,73.5
1987,,27,80.88,80.88,81.12,81.12
1987,,28,91.62,91.62,90.31,90.31
1987,,1,90.06,90.06,89.69,89.69
1987,,2,70.69,70.69,69.69,69.69
1987,,3,76.38,76.38,75.38,75.38
1987,,4,73.38,73.38,71.38,71.38
1987,,5,80.06,80.06,79.19,79.19
1987,,6,85.12,85.12,83.19,83.19
1987,,7,83.25,83.25,82.75,82.75
1987,,8,79.12,79.12,79.19,79.19
1987,,9,69.25,69.25,68.75,68.75
1987,,10,61.56,61.56,63.69,63.69
1987,,11,72.12,72.12,72.19,72.19
1987,,12,74.38,74.38,73.12,73.12
1987,,13,71.88,71.88,71.44,71.44
1987,,14,91.62,91.62,92.25,92.25
1987,,15,75.88,75.88,76.38,76.38
1987,,16,68.12,68.12,72.19,72.19
1987,,17,67.31,67.31,69.81,69.81
1987,,18,71.94,71.94,75.06,75.06
1987,,19,72.12,72.12,74.75,74.75
1987,,20,67.0,67.0,69.81,69.81
1987,,21,74.06,74.06,73.94,73.94
1987,,22,67.62,67.62,69.75,69.75
1987,,23,78.62,78.62,78.69,78.69
1987,,24,78.44,78.44,77.81,77.81
1987,,25,80.44,80.44,79.06,79.06
1987,,26,88.06,88.06,86.44,86.44
1987,,27,87.81,87.81,87.06,87.06
1987,,28,80.88,80.88,81.94,81.94
1987,,29,81.75,81.75,80.75,80.75
1987,,30,79.81,79.81,82.94,82.94
1987,,31,68.5,68.5,70.94,70.94
1987,,1,87.25,87.25,86.12,86.12
1987,,2,79.06,79.06,78.5,78.5
1987,,3,75.06,75.06,75.44,75.44
1987,,4,69.19,69.19,73.56,73.56
1987,,5,86.19,86.19,86.44,86.44
1987,,6,88.62,88.62,90.12,90.12
1987,,7,73.44,73.44,75.0,75.0
1987,,8,71.44,71.44,73.25,73.25
1987,,9,65.88,65.88,66.12,66.12
1987,,10,67.38,67.38,66.69,66.69
1987,,11,81.81,81.81,80.5,80.5
1987,,12,84.25,84.25,83.94,83.94
1987,,13,78.94,78.94,79.5,79.5
1987,,14,86.06,86.06,86.25,86.25
1987,,15,86.38,86.38,88.75,88.75
1987,,16,84.12,84.12,82.44,82.44
1987,,17,80.69,80.69,81.5,81.5
1987,,18,77.94,77.94,78.62,78.62
1987,,19,75.31,75.31,78.19,78.19
1987,,20,72.75,72.75,75.69,75.69
1987,,21,71.88,71.88,73.12,73.12
1987,,22,85.12,85.12,84.38,84.38
1987,,23,74.5,74.5,74.75,74.75
1987,,24,65.38,65.38,69.19,69.19
1987,,25,59.12,59.12,63.0,63.0
1987,,26,59.88,59.88,63.19,63.19
1987,,27,66.81,66.81,65.25,65.25
1987,,28,61.56,61.56,61.81,61.81
1987,,29,64.31,64.31,63.06,63.06
1987,,30,64.69,64.69,64.56,64.56
1987,,1,71.31,71.31,70.5,70.5
1987,,2,86.25,86.25,85.56,85.56
1987,,3,87.38,87.38,88.12,88.12
1987,,4,66.38,66.38,68.5,68.5
1987,,5,60.19,60.19,62.81,62.81
1987,,6,65.75,65.75,66.12,66.12
1987,,7,63.06,63.06,66.69,66.69
1987,,8,62.19,62.19,62.94,62.94
1987,,9,63.31,63.31,63.44,63.44
1987,,10,71.19,71.19,71.38,71.38
1987,,11,71.75,71.75,71.94,71.94
1987,,12,61.62,61.62,63.31,63.31
1987,,13,62.5,62.5,63.06,63.06
1987,,14,77.88,77.88,76.88,76.88
1987,,15,65.38,65.38,65.5,65.5
1987,,16,58.81,58.81,56.94,56.94
1987,,17,67.88,67.88,65.0,65.0
1987,,18,89.94,89.94,89.94,89.94
1987,,19,83.62,83.62,84.19,84.19
1987,,20,82.12,82.12,81.81,81.81
1987,,21,89.88,89.88,90.62,90.62
1987,,22,79.69,79.69,78.88,78.88
1987,,23,74.5,74.5,73.69,73.69
1987,,24,75.06,75.06,75.62,75.62
1987,,25,79.94,79.94,77.56,77.56
1987,,26,80.75,80.75,81.12,81.12
1987,,27,79.69,79.69,77.31,77.31
1987,,28,78.75,78.75,77.06,77.06
1987,,29,76.0,76.0,75.19,75.19
1987,,30,87.31,87.31,84.75,84.75
1987,,31,80.88,80.88,79.88,79.88
1987,,1,84.75,84.75,84.44,84.44
1987,,2,89.75,89.75,88.62,88.62
1987,,3,69.0,69.0,68.62,68.62
1987,,4,65.38,65.38,66.0,66.0
1987,,5,64.38,64.38,63.38,63.38
1987,,6,72.31,72.31,72.44,72.44
1987,,7,68.5,68.5,67.56,67.56
1987,,8,78.62,78.62,77.19,77.19
1987,,9,67.69,67.69,66.56,66.56
1987,,10,61.06,61.06,55.69,55.69
1987,,11,70.38,70.38,65.19,65.19
1987,,12,81.88,81.88,82.31,82.31
1987,,13,67.88,67.88,67.12,67.12
1987,,14,67.81,67.81,62.56,62.56
1987,,15,67.44,67.44,64.06,64.06
1987,,16,52.75,52.75,51.0,51.0
1987,,17,59.69,59.69,58.62,58.62
1987,,18,55.81,55.81,54.0,54.0
1987,,19,60.69,60.69,59.88,59.88
1987,,20,90.31,90.31,90.0,90.0
1987,,21,85.81,85.81,87.75,87.75
1987,,22,82.5,82.5,83.25,83.25
1987,,23,71.81,71.81,70.38,70.38
1987,,24,60.56,60.56,60.81,60.81
1987,,25,68.44,68.44,65.31,65.31
1987,,26,60.88,60.88,60.0,60.0
1987,,27,62.62,62.62,60.12,60.12
1987,,28,59.19,59.19,59.69,59.69
1987,,29,80.81,80.81,80.38,80.38
1987,,30,87.56,87.56,88.0,88.0
1987,,1,89.5,89.5,89.06,89.06
1987,,2,79.75,79.75,82.12,82.12
1987,,3,74.75,74.75,76.81,76.81
1987,,4,69.75,69.75,69.44,69.44
1987,,5,82.5,82.5,79.12,79.12
1987,,6,84.0,84.0,84.06,84.06
1987,,7,87.94,87.94,88.62,88.62
1987,,8,81.44,81.44,81.44,81.44
1987,,9,81.56,81.56,81.62,81.62
1987,,10,82.75,82.75,83.19,83.19
1987,,11,84.38,84.38,84.06,84.06
1987,,12,83.75,83.75,82.75,82.75
1987,,13,82.75,82.75,83.5,83.5
1987,,14,67.38,67.38,66.31,66.31
1987,,15,76.5,76.5,71.88,71.88
1987,,16,73.06,73.06,71.06,71.06
1987,,17,69.69,69.69,66.62,66.62
1987,,18,68.06,68.06,64.06,64.06
1987,,19,67.88,67.88,65.5,65.5
1987,,20,69.69,69.69,66.31,66.31
1987,,21,67.88,67.88,63.56,63.56
1987,,22,61.12,61.12,59.06,59.06
1987,,23,57.88,57.88,54.5,54.5
1987,,24,62.44,62.44,59.25,59.25
1987,,25,69.44,69.44,68.12,68.12
1987,,26,77.0,77.0,75.0,75.0
1987,,27,59.75,59.75,58.12,58.12
1987,,28,52.0,52.0,52.5,52.5
1987,,29,66.06,66.06,59.69,59.69
1987,,30,68.25,68.25,67.19,67.19
1987,,31,66.69,66.69,68.56,68.56
1987,,1,77.56,77.56,76.69,76.69
1987,,2,69.69,69.69,69.81,69.81
1987,,3,64.12,64.12,64.88,64.88
1987,,4,65.06,65.06,63.62,63.62
1987,,5,60.5,60.5,62.38,62.38
1987,,6,62.25,62.25,60.69,60.69
1987,,7,62.38,62.38,59.56,59.56
1987,,8,70.69,70.69,71.81,71.81
1987,,9,73.44,73.44,73.81,73.81
1987,,10,64.81,64.81,67.5,67.5
1987,,11,66.44,66.44,69.0,69.0
1987,,12,66.19,66.19,66.06,66.06
1987,,13,66.06,66.06,63.56,63.56
1987,,14,64.12,64.12,60.06,60.06
1987,,15,57.38,57.38,48.81,48.81
1987,,16,57.0,57.0,52.19,52.19
1987,,17,59.06,59.06,54.94,54.94
1987,,18,59.81,59.81,57.56,57.56
1987,,19,57.25,57.25,52.81,52.81
1987,,20,54.31,54.31,51.38,51.38
1987,,21,66.38,66.38,58.62,58.62
1987,,22,67.25,67.25,70.75,70.75
1987,,23,56.69,56.69,55.62,55.62
1987,,24,56.62,56.62,51.88,51.88
1987,,25,70.31,70.31,63.88,63.88
1987,,26,89.88,89.88,90.06,90.06
1987,,27,87.62,87.62,88.69,88.69
1987,,28,82.44,82.44,83.0,83.0
1987,,29,74.06,74.06,73.25,73.25
1987,,30,69.0,69.0,69.0,69.0
1987,,31,71.12,71.12,71.94,71.94
1987,,1,63.12,63.12,64.5,64.5
1987,,2,72.81,72.81,75.31,75.31
1987,,3,68.81,68.81,70.25,70.25
1987,,4,68.0,68.0,68.19,68.19
1987,,5,67.62,67.62,69.44,69.44
1987,,6,71.06,71.06,71.56,71.56
1987,,7,66.19,66.19,67.0,67.0
1987,,8,85.88,85.88,83.81,83.81
1987,,9,74.69,74.69,73.12,73.12
1987,,10,70.5,70.5,71.62,71.62
1987,,11,75.0,75.0,74.12,74.12
1987,,12,74.62,74.62,84.25,84.25
1987,,13,66.69,66.69,68.81,68.81
1987,,14,63.12,63.12,63.5,63.5
1987,,15,83.81,83.81,80.56,80.56
1987,,16,85.56,85.56,85.0,85.0
1987,,17,80.38,80.38,81.31,81.31
1987,,18,83.06,83.06,83.62,83.62
1987,,19,69.75,69.75,70.0,70.0
1987,,20,74.62,74.62,71.12,71.12
1987,,21,80.38,80.38,78.81,78.81
1987,,22,80.75,80.75,80.25,80.25
1987,,23,71.19,71.19,70.62,70.62
1987,,24,73.12,73.12,75.06,75.06
1987,,25,58.31,58.31,59.56,59.56
1987,,26,55.56,55.56,53.5,53.5
1987,,27,54.75,54.75,51.5,51.5
1987,,28,63.81,63.81,60.38,60.38
1987,,29,83.69,83.69,84.38,84.38
1987,,30,72.31,72.31,71.81,71.81
1987,,1,59.44,59.44,57.75,57.75
1987,,2,67.38,67.38,63.19,63.19
1987,,3,62.25,62.25,60.06,60.06
1987,,4,55.12,55.12,55.81,55.81
1987,,5,62.0,62.0,57.81,57.81
1987,,6,83.25,83.25,83.19,83.19
1987,,7,79.31,79.31,77.0,77.0
1987,,8,65.5,65.5,61.88,61.88
1987,,9,64.31,64.31,62.88,62.88
1987,,10,84.5,84.5,83.06,83.06
1987,,11,75.94,75.94,75.88,75.88
1987,,12,63.5,63.5,61.5,61.5
1987,,13,56.56,56.56,57.81,57.81
1987,,14,57.38,57.38,56.06,56.06
1987,,15,54.31,54.31,51.5,51.5
1987,,16,55.88,55.88,53.25,53.25
1987,,17,70.81,70.81,68.38,68.38
1987,,18,73.81,73.81,72.81,72.81
1987,,19,75.19,75.19,69.69,69.69
1987,,20,88.75,88.75,91.0,91.0
1987,,21,85.12,85.12,84.06,84.06
1987,,22,75.31,75.31,72.81,72.81
1987,,23,72.38,72.38,70.38,70.38
1987,,24,88.75,88.75,86.44,86.44
1987,,25,74.12,74.12,73.19,73.19
1987,,26,78.31,78.31,75.25,75.25
1987,,27,76.81,76.81,76.31,76.31
1987,,28,81.06,81.06,81.0,81.0
1987,,29,70.62,70.62,70.12,70.12
1987,,30,81.19,81.19,81.19,81.19
1987,,31,85.12,85.12,84.12,84.12
1987,,1,91.44,91.44,90.44,90.44
1987,,2,77.75,77.75,76.62,76.62
1987,,3,70.69,70.69,68.44,68.44
1987,,4,72.5,72.5,71.69,71.69
1987,,5,62.38,62.38,61.44,61.44
1987,,6,62.5,62.5,61.69,61.69
1987,,7,75.25,75.25,73.69,73.69
1987,,8,69.75,69.75,71.12,71.12
1987,,9,71.62,71.62,71.69,71.69
1987,,10,72.25,72.25,68.5,68.5
1987,,11,75.31,75.31,73.31,73.31
1987,,12,70.25,70.25,69.88,69.88
1987,,13,78.62,78.62,75.38,75.38
1987,,14,85.75,85.75,86.12,86.12
1987,,15,72.75,72.75,73.94,73.94
1987,,16,75.25,75.25,75.56,75.56
1987,,17,80.19,80.19,81.38,81.38
1987,,18,76.81,76.81,75.88,75.88
1987,,19,71.0,71.0,69.31,69.31
1987,,20,69.62,69.62,68.06,68.06
1987,,21,62.81,62.81,61.06,61.06
1987,,22,58.5,58.5,56.38,56.38
1987,,23,82.19,82.19,80.94,80.94
1987,,24,90.31,90.31,89.56,89.56
1987,,25,95.88,95.88,95.5,95.5
1987,,26,87.25,87.25,87.31,87.31
1987,,27,91.25,91.25,91.56,91.56
1987,,28,88.81,88.81,86.81,86.81
1987,,29,90.69,90.69,89.44,89.44
1987,,30,88.75,88.75,87.31,87.31
1987,,1,88.25,88.25,89.81,89.81
1987,,2,75.94,75.94,76.44,76.44
1987,,3,92.25,92.25,92.38,92.38
1987,,4,81.69,81.69,83.62,83.62
1987,,5,84.62,84.62,86.38,86.38
1987,,6,85.5,85.5,87.56,87.56
1987,,7,92.0,92.0,91.88,91.88
1987,,8,96.56,96.56,95.75,95.75
1987,,9,89.88,89.88,88.81,88.81
1987,,10,89.81,89.81,90.19,90.19
1987,,11,93.0,93.0,91.94,91.94
1987,,12,83.25,83.25,82.56,82.56
1987,,13,80.88,80.88,80.38,80.38
1987,,14,87.31,87.31,86.88,86.88
1987,,15,88.44,88.44,86.06,86.06
1987,,16,85.38,85.38,84.69,84.69
1987,,17,85.12,85.12,84.06,84.06
1987,,18,82.38,82.38,82.31,82.31
1987,,19,94.5,94.5,92.5,92.5
1987,,20,93.44,93.44,93.06,93.06
1987,,21,76.94,76.94,75.19,75.19
1987,,22,86.19,86.19,84.94,84.94
1987,,23,89.12,89.12,88.25,88.25
1987,,24,93.94,93.94,93.56,93.56
1987,,25,93.19,93.19,93.94,93.94
1987,,26,81.06,81.06,81.0,81.0
1987,,27,79.75,79.75,78.0,78.0
1987,,28,92.19,92.19,91.81,91.81
1987,,29,85.69,85.69,81.94,81.94
1987,,30,85.06,85.06,82.88,82.88
1987,,31,86.0,86.0,85.62,85.62
1988,,1,77.69,77.69,74.88,74.88
1988,,2,80.56,80.56,77.81,77.81
1988,,3,78.94,78.94,75.5,75.5
1988,,4,73.81,73.81,72.31,72.31
1988,,5,76.44,76.44,72.94,72.94
1988,,6,83.0,83.0,82.0,82.0
1988,,7,81.69,81.69,82.31,82.31
1988,,8,84.5,84.5,84.25,84.25
1988,,9,87.19,87.19,85.44,85.44
1988,,10,85.81,85.81,85.44,85.44
1988,,11,90.75,90.75,88.31,88.31
1988,,12,86.12,86.12,83.19,83.19
1988,,13,76.19,76.19,73.31,73.31
1988,,14,77.31,77.31,72.81,72.81
1988,,15,79.31,79.31,76.56,76.56
1988,,16,81.75,81.75,78.5,78.5
1988,,17,96.06,96.06,94.69,94.69
1988,,18,89.12,89.12,87.44,87.44
1988,,19,93.94,93.94,93.25,93.25
1988,,20,92.62,92.62,91.94,91.94
1988,,21,79.31,79.31,79.56,79.56
1988,,22,75.5,75.5,71.75,71.75
1988,,23,78.69,78.69,77.25,77.25
1988,,24,87.62,87.62,85.75,85.75
1988,,25,84.19,84.19,83.75,83.75
1988,,26,85.94,85.94,85.0,85.0
1988,,27,81.5,81.5,81.69,81.69
1988,,28,84.62,84.62,83.88,83.88
1988,,29,92.81,92.81,91.06,91.06
1988,,30,95.31,95.31,93.5,93.5
1988,,31,93.19,93.19,91.81,91.81
1988,,1,94.62,94.62,94.5,94.5
1988,,2,81.5,81.5,82.06,82.06
1988,,3,85.81,85.81,84.62,84.62
1988,,4,79.12,79.12,78.31,78.31
1988,,5,77.44,77.44,77.25,77.25
1988,,6,78.19,78.19,77.44,77.44
1988,,7,84.56,84.56,83.12,83.12
1988,,8,75.75,75.75,73.44,73.44
1988,,9,87.94,87.94,87.56,87.56
1988,,10,83.88,83.88,81.94,81.94
1988,,11,95.19,95.19,94.81,94.81
1988,,12,90.81,90.81,90.88,90.88
1988,,13,92.38,92.38,91.81,91.81
1988,,14,95.19,95.19,94.38,94.38
1988,,15,87.06,87.06,86.38,86.38
1988,,16,82.5,82.5,81.62,81.62
1988,,17,88.19,88.19,88.69,88.69
1988,,18,76.44,76.44,77.31,77.31
1988,,19,92.81,92.81,93.75,93.75
1988,,20,77.0,77.0,75.69,75.69
1988,,21,66.44,66.44,64.06,64.06
1988,,22,80.44,80.44,76.06,76.06
1988,,23,63.19,63.19,63.44,63.44
1988,,24,70.69,70.69,67.31,67.31
1988,,25,76.62,76.62,75.75,75.75
1988,,26,77.38,77.38,76.19,76.19
1988,,27,79.81,79.81,79.94,79.94
1988,,28,78.94,78.94,75.62,75.62
1988,,29,83.19,83.19,82.31,82.31
1988,,1,77.94,77.94,74.94,74.94
1988,,2,80.88,80.88,80.12,80.12
1988,,3,74.12,74.12,74.94,74.94
1988,,4,69.56,69.56,70.62,70.62
1988,,5,70.56,70.56,70.06,70.06
1988,,6,76.06,76.06,75.44,75.44
1988,,7,85.25,85.25,84.94,84.94
1988,,8,84.69,84.69,82.44,82.44
1988,,9,83.12,83.12,84.94,84.94
1988,,10,69.31,69.31,69.19,69.19
1988,,11,66.56,66.56,65.38,65.38
1988,,12,85.31,85.31,85.62,85.62
1988,,13,78.12,78.12,78.0,78.0
1988,,14,72.94,72.94,74.0,74.0
1988,,15,73.81,73.81,71.62,71.62
1988,,16,81.94,81.94,80.19,80.19
1988,,17,77.06,77.06,75.31,75.31
1988,,18,79.62,79.62,79.94,79.94
1988,,19,75.75,75.75,75.75,75.75
1988,,20,67.25,67.25,66.88,66.88
1988,,21,65.56,65.56,65.06,65.06
1988,,22,67.81,67.81,68.0,68.0
1988,,23,86.31,86.31,84.75,84.75
1988,,24,89.69,89.69,90.88,90.88
1988,,25,79.25,79.25,81.5,81.5
1988,,26,80.25,80.25,79.12,79.12
1988,,27,75.25,75.25,75.06,75.06
1988,,28,77.0,77.0,73.62,73.62
1988,,29,82.12,82.12,77.5,77.5
1988,,30,73.38,73.38,72.56,72.56
1988,,31,79.38,79.38,78.12,78.12
1988,,1,84.88,84.88,84.69,84.69
1988,,2,87.38,87.38,86.62,86.62
1988,,3,84.81,84.81,84.19,84.19
1988,,4,80.0,80.0,78.19,78.19
1988,,5,82.88,82.88,81.5,81.5
1988,,6,89.12,89.12,89.75,89.75
1988,,7,69.5,69.5,72.75,72.75
1988,,8,70.62,70.62,72.44,72.44
1988,,9,65.75,65.75,68.0,68.0
1988,,10,65.75,65.75,67.44,67.44
1988,,11,69.75,69.75,70.56,70.56
1988,,12,72.69,72.69,77.12,77.12
1988,,13,76.25,76.25,75.5,75.5
1988,,14,71.0,71.0,68.69,68.69
1988,,15,71.31,71.31,70.5,70.5
1988,,16,71.44,71.44,71.88,71.88
1988,,17,71.88,71.88,68.88,68.88
1988,,18,62.56,62.56,60.75,60.75
1988,,19,64.38,64.38,65.38,65.38
1988,,20,74.0,74.0,71.31,71.31
1988,,21,68.5,68.5,68.62,68.62
1988,,22,62.19,62.19,63.25,63.25
1988,,23,75.25,75.25,72.38,72.38
1988,,24,71.0,71.0,70.31,70.31
1988,,25,63.81,63.81,65.12,65.12
1988,,26,74.62,74.62,72.62,72.62
1988,,27,78.38,78.38,77.25,77.25
1988,,28,76.19,76.19,80.38,80.38
1988,,29,67.88,67.88,71.56,71.56
1988,,30,70.12,70.12,69.75,69.75
1988,,1,69.88,69.88,64.69,64.69
1988,,2,63.56,63.56,65.62,65.62
1988,,3,69.69,69.69,69.12,69.12
1988,,4,67.81,67.81,69.5,69.5
1988,,5,67.19,67.19,69.81,69.81
1988,,6,69.38,69.38,70.5,70.5
1988,,7,66.69,66.69,66.19,66.19
1988,,8,70.81,70.81,69.44,69.44
1988,,9,74.12,74.12,75.31,75.31
1988,,10,76.88,76.88,75.75,75.75
1988,,11,61.19,61.19,61.88,61.88
1988,,12,66.75,66.75,63.06,63.06
1988,,13,64.88,64.88,63.69,63.69
1988,,14,66.75,66.75,65.81,65.81
1988,,15,78.31,78.31,75.75,75.75
1988,,16,75.19,75.19,73.25,73.25
1988,,17,78.44,78.44,77.81,77.81
1988,,18,70.5,70.5,70.19,70.19
1988,,19,82.19,82.19,84.62,84.62
1988,,20,75.5,75.5,77.38,77.38
1988,,21,73.69,73.69,71.62,71.62
1988,,22,71.12,71.12,69.38,69.38
1988,,23,82.5,82.5,82.06,82.06
1988,,24,64.5,64.5,62.5,62.5
1988,,25,63.88,63.88,61.38,61.38
1988,,26,58.25,58.25,57.12,57.12
1988,,27,63.19,63.19,58.44,58.44
1988,,28,67.44,67.44,62.5,62.5
1988,,29,65.25,65.25,59.0,59.0
1988,,30,63.56,63.56,58.56,58.56
1988,,31,61.5,61.5,55.38,55.38
1988,,1,60.19,60.19,54.81,54.81
1988,,2,70.94,70.94,67.12,67.12
1988,,3,58.31,58.31,57.0,57.0
1988,,4,55.88,55.88,53.19,53.19
1988,,5,57.88,57.88,52.38,52.38
1988,,6,61.19,61.19,56.81,56.81
1988,,7,54.88,54.88,50.19,50.19
1988,,8,60.62,60.62,59.12,59.12
1988,,9,53.06,53.06,50.88,50.88
1988,,10,53.0,53.0,48.94,48.94
1988,,11,47.75,47.75,44.75,44.75
1988,,12,51.62,51.62,46.88,46.88
1988,,13,50.38,50.38,45.62,45.62
1988,,14,49.44,49.44,45.0,45.0
1988,,15,55.06,55.06,48.94,48.94
1988,,16,60.25,60.25,57.44,57.44
1988,,17,56.88,56.88,53.38,53.38
1988,,18,52.5,52.5,45.25,45.25
1988,,19,45.56,45.56,40.38,40.38
1988,,20,55.19,55.19,50.25,50.25
1988,,21,57.31,57.31,55.38,55.38
1988,,22,49.88,49.88,45.94,45.94
1988,,23,48.19,48.19,49.81,49.81
1988,,24,40.19,40.19,38.38,38.38
1988,,25,40.62,40.62,37.31,37.31
1988,,26,49.88,49.88,48.06,48.06
1988,,27,46.12,46.12,45.0,45.0
1988,,28,57.38,57.38,53.5,53.5
1988,,29,56.06,56.06,53.56,53.56
1988,,30,49.0,49.0,49.19,49.19
1988,,1,46.94,46.94,45.5,45.5
1988,,2,49.06,49.06,41.88,41.88
1988,,3,41.62,41.62,39.12,39.12
1988,,4,41.81,41.81,38.94,38.94
1988,,5,41.5,41.5,36.19,36.19
1988,,6,38.56,38.56,34.44,34.44
1988,,7,40.25,40.25,37.0,37.0
1988,,8,41.19,41.19,40.19,40.19
1988,,9,41.56,41.56,38.31,38.31
1988,,10,57.56,57.56,54.12,54.12
1988,,11,56.62,56.62,54.56,54.56
1988,,12,49.62,49.62,46.88,46.88
1988,,13,54.44,54.44,50.19,50.19
1988,,14,50.56,50.56,46.31,46.31
1988,,15,48.94,48.94,47.75,47.75
1988,,16,66.06,66.06,60.25,60.25
1988,,17,64.75,64.75,69.62,69.62
1988,,18,71.38,71.38,72.88,72.88
1988,,19,70.12,70.12,70.56,70.56
1988,,20,72.81,72.81,68.88,68.88
1988,,21,63.12,63.12,61.62,61.62
1988,,22,65.75,65.75,65.12,65.12
1988,,23,63.44,63.44,64.81,64.81
1988,,24,60.19,60.19,60.69,60.69
1988,,25,68.31,68.31,64.5,64.5
1988,,26,65.75,65.75,63.94,63.94
1988,,27,54.38,54.38,51.75,51.75
1988,,28,45.38,45.38,42.62,42.62
1988,,29,49.88,49.88,48.88,48.88
1988,,30,76.31,76.31,76.62,76.62
1988,,31,61.31,61.31,59.12,59.12
1988,,1,62.44,62.44,62.19,62.19
1988,,2,62.38,62.38,61.12,61.12
1988,,3,58.81,58.81,55.31,55.31
1988,,4,62.12,62.12,59.38,59.38
1988,,5,74.81,74.81,72.69,72.69
1988,,6,57.44,57.44,55.88,55.88
1988,,7,48.12,48.12,47.5,47.5
1988,,8,49.5,49.5,44.19,44.19
1988,,9,61.31,61.31,54.38,54.38
1988,,10,74.88,74.88,75.75,75.75
1988,,11,73.38,73.38,71.81,71.81
1988,,12,64.19,64.19,63.12,63.12
1988,,13,61.56,61.56,61.06,61.06
1988,,14,67.12,67.12,65.94,65.94
1988,,15,67.25,67.25,64.0,64.0
1988,,16,56.38,56.38,52.56,52.56
1988,,17,52.94,52.94,52.0,52.0
1988,,18,81.0,81.0,85.69,85.69
1988,,19,78.19,78.19,78.19,78.19
1988,,20,66.38,66.38,59.0,59.0
1988,,21,58.94,58.94,56.62,56.62
1988,,22,54.38,54.38,52.5,52.5
1988,,23,73.69,73.69,75.94,75.94
1988,,24,59.5,59.5,58.62,58.62
1988,,25,60.56,60.56,59.38,59.38
1988,,26,64.62,64.62,61.88,61.88
1988,,27,63.0,63.0,61.12,61.12
1988,,28,71.12,71.12,75.25,75.25
1988,,29,56.06,56.06,55.88,55.88
1988,,30,58.19,58.19,58.81,58.81
1988,,31,55.5,55.5,54.69,54.69
1988,,1,54.62,54.62,51.81,51.81
1988,,2,78.94,78.94,75.38,75.38
1988,,3,91.0,91.0,92.56,92.56
1988,,4,75.62,75.62,75.62,75.62
1988,,5,67.0,67.0,67.44,67.44
1988,,6,66.31,66.31,64.44,64.44
1988,,7,56.25,56.25,55.62,55.62
1988,,8,57.69,57.69,55.69,55.69
1988,,9,60.75,60.75,60.62,60.62
1988,,10,44.12,44.12,43.62,43.62
1988,,11,55.06,55.06,55.88,55.88
1988,,12,80.06,80.06,77.31,77.31
1988,,13,70.12,70.12,70.06,70.06
1988,,14,56.12,56.12,56.12,56.12
1988,,15,66.44,66.44,67.5,67.5
1988,,16,70.38,70.38,68.88,68.88
1988,,17,73.94,73.94,72.44,72.44
1988,,18,78.62,78.62,75.12,75.12
1988,,19,87.31,87.31,83.69,83.69
1988,,20,70.19,70.19,66.5,66.5
1988,,21,81.5,81.5,78.75,78.75
1988,,22,75.25,75.25,71.88,71.88
1988,,23,67.44,67.44,66.19,66.19
1988,,24,68.06,68.06,70.06,70.06
